Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],"Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Employers, female (% of female employment) (modeled ILO estimate) [SL.EMP.MPYR.FE.ZS]","Employers, male (% of male employment) (modeled ILO estimate) [SL.EMP.MPYR.MA.ZS]","Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]"
2018,YR2018,France,FRA,31.20442255,48.30249759,2.176747,6.137514,4.226478
2018,YR2018,Germany,DEU,32.68361097,46.56615752,2.300439,5.961022,4.247225
2019,YR2019,Afghanistan,AFG,1.852781994,23.09936405,1.269632,2.223373,2.019602
2019,YR2019,Australia,AUS,17.42131456,46.94471661,4.139212,7.573606,5.968357
2019,YR2019,Bangladesh,BGD,14.46877161,32.00890622,0.8114035,7.148648,5.239479
2019,YR2019,Brazil,BRA,59.55852618,43.73621743,3.379677,5.771336,4.749191
2019,YR2019,Canada,CAN,38.69963717,47.29842364,2.594362,6.026172,4.39306
2019,YR2019,France,FRA,31.35673546,48.44236938,2.213045,6.169684,4.252524
2019,YR2019,Germany,DEU,32.68267552,46.60135999,2.316922,5.969072,4.260831
2020,YR2020,Afghanistan,AFG,1.852781994,19.79348615,0.7176151,1.843914,1.643259
2020,YR2020,Australia,AUS,17.42131456,46.99239369,4.02012,7.617017,5.93222
2020,YR2020,Bangladesh,BGD,14.46877161,32.0382574,0.7305264,7.078164,5.2116
2020,YR2020,Brazil,BRA,59.41747805,42.60528092,3.205632,5.85054,4.749464
2020,YR2020,Canada,CAN,38.69551251,47.01481623,2.436405,5.837779,4.23467
2020,YR2020,France,FRA,31.50904837,48.4961849,2.336301,5.965106,4.204841
2020,YR2020,Germany,DEU,32.68267552,46.70542346,2.093829,5.900739,4.10408
2021,YR2021,Afghanistan,AFG,1.852781994,47.40552324,2.093829,5.900739,4.10408
2021,YR2021,Australia,AUS,17.42131456,47.16996151,4.056806,7.437546,5.844841
2021,YR2021,Bangladesh,BGD,14.46877161,32.41967195,0.743212,7.293846,5.358071
2021,YR2021,Brazil,BRA,59.2705275,43.11761501,2.964662,5.428487,4.404532
2021,YR2021,Canada,CAN,39.47012793,47.11885952,2.304266,5.517799,3.997218
2021,YR2021,France,FRA,31.66136128,48.82875356,2.812598,6.686412,4.797935
2021,YR2021,Germany,DEU,32.68267552,46.71056524,2.113528,5.487576,3.891315
2022,YR2022,Afghanistan,AFG,32.68267552,47.40552324,2.113528,5.487576,3.891315
2022,YR2022,Australia,AUS,32.68267552,47.40552324,2.113528,5.487576,3.891315
2022,YR2022,Bangladesh,BGD,32.68267552,32.67182843,2.113528,5.487576,3.891315
2022,YR2022,Brazil,BRA,32.68267552,43.57916055,2.113528,5.487576,3.891315
2022,YR2022,Canada,CAN,32.68267552,47.41167636,2.113528,5.487576,3.891315
2022,YR2022,France,FRA,32.68267552,48.80072488,2.113528,5.487576,3.891315
2022,YR2022,Germany,DEU,32.68267552,46.71022034,2.113528,5.487576,3.891315
